,StartStation,ArriveStation,count,s_j,s_w,e_j,e_w,count_std
2844,白云机场北,清城,70,-1.0,-1.0,-1.0,-1.0,28.495410060610993
2647,清城,白云机场北,68,-1.0,-1.0,-1.0,-1.0,27.68102186474086
2548,深圳,广州东,67,114.1236341,22.53793636,113.3311109,23.1559198,27.273827766805795
217,东莞西,小金口,65,113.8653917,23.09380923,-1.0,-1.0,26.45943957093567
1667,广州东,深圳,63,113.3311109,23.1559198,114.1236341,22.53793636,25.645051375065535
1717,广州南,珠海,63,113.2759886,22.99449891,113.5558925,22.22127138,25.645051375065535
2816,珠海,广州南,62,113.5558925,22.22127138,113.2759886,22.99449891,25.23785727713047
1550,小金口,东莞西,61,-1.0,-1.0,113.8653917,23.09380923,24.830663179195405
1310,天津,北京南,60,117.2167068,39.14138387,116.3854936,39.87101558,24.42346908126034
619,北京南,天津,59,116.3854936,39.87101558,117.2167068,39.14138387,24.01627498332527
3886,麓谷,湘潭,44,-1.0,-1.0,112.9196331,27.88092705,17.908363514299285
7,三亚,三  亚,44,109.4993981,18.3023836,-1.0,-1.0,17.908363514299285
757,南京,上海,42,118.8047545,32.09280914,121.4621369,31.25561813,17.093975318429155
2694,湘潭,长沙,41,112.9196331,27.88092705,113.019607,28.19959597,16.68678122049409
2695,湘潭,麓谷,40,112.9196331,27.88092705,-1.0,-1.0,16.279587122559022
620,北京南,天津西,40,116.3854936,39.87101558,117.1699861,39.1642329,16.279587122559022
2034,昆明南,大理,40,102.7283354,25.02160539,100.2562088,25.59521885,16.279587122559022
34,上海,南京,39,121.4621369,31.25561813,118.8047545,32.09280914,15.872393024623957
1329,天津西,北京南,38,117.1699861,39.1642329,116.3854936,39.87101558,15.465198926688892
1249,大理,昆明南,36,100.2562088,25.59521885,102.7283354,25.02160539,14.650810730818762
3685,长沙,湘潭,36,113.019607,28.19959597,112.9196331,27.88092705,14.650810730818762
2800,犀浦,青城山,34,103.9788295,30.76328592,103.6128703,30.89783801,13.836422534948628
119,上海虹桥,北京南,33,121.3270978,31.19997528,116.3854936,39.87101558,13.429228437013563
3021,美兰,海口,33,110.4678714,19.9476176,110.1689779,20.03367376,13.429228437013563
602,北京南,上海虹桥,33,116.3854936,39.87101558,121.3270978,31.19997528,13.429228437013563
3787,青城山,犀浦,33,103.6128703,30.89783801,103.9788295,30.76328592,13.429228437013563
2505,海口,美兰,33,110.1689779,20.03367376,110.4678714,19.9476176,13.429228437013563
2705,湛江西,广州南,31,110.2870213,21.22211413,113.2759886,22.99449891,12.61484024114343
1715,广州南,湛江西,31,113.2759886,22.99449891,110.2870213,21.22211413,12.61484024114343
2596,深圳北,广州南,31,114.0354307,22.6155135,113.2759886,22.99449891,12.61484024114343
2504,海口,海口东,29,110.1689779,20.03367376,110.349661,19.98979616,11.8004520452733
2509,海口东,海口,29,110.349661,19.98979616,110.1689779,20.03367376,11.8004520452733
3706,长沙南,怀化南,28,113.0718382,28.15265108,109.9737082,27.56350944,11.393257947338235
1827,怀化南,长沙南,27,109.9737082,27.56350944,113.0718382,28.15265108,10.986063849403166
1714,广州南,深圳北,27,113.2759886,22.99449891,114.0354307,22.6155135,10.986063849403166
2508,海口东,海  口东,24,110.349661,19.98979616,-1.0,-1.0,9.764481555597971
635,北京南,滨海,24,116.3854936,39.87101558,117.6181534,39.08764455,9.764481555597971
2719,滨海,北京南,23,117.6181534,39.08764455,116.3854936,39.87101558,9.357287457662906
3781,雅安,成都西,23,-1.0,-1.0,104.0797802,30.70361284,9.357287457662906
842,南宁东,广州南,23,108.321642,22.83292908,113.2759886,22.99449891,9.357287457662906
1925,成都西,雅安,23,104.0797802,30.70361284,-1.0,-1.0,9.357287457662906
3678,长沙,张家界西,22,113.019607,28.19959597,110.493057,29.11056812,8.950093359727838
1700,广州南,昆明南,22,113.2759886,22.99449891,102.7283354,25.02160539,8.950093359727838
1688,广州南,南宁东,22,113.2759886,22.99449891,108.321642,22.83292908,8.950093359727838
1716,广州南,潮汕,22,113.2759886,22.99449891,116.5944151,23.54253566,8.950093359727838
2823,珠海,珠海长隆,21,113.5558925,22.22127138,-1.0,-1.0,8.542899261792773
2826,珠海长隆,珠海,21,-1.0,-1.0,113.5558925,22.22127138,8.542899261792773
2507,海口东,三亚,21,110.349661,19.98979616,109.4993981,18.3023836,8.542899261792773
2636,深圳机场,广州东,20,-1.0,-1.0,113.3311109,23.1559198,8.135705163857708
10,三亚,海口东,20,109.4993981,18.3023836,110.349661,19.98979616,8.135705163857708
1668,广州东,深圳机场,20,113.3311109,23.1559198,-1.0,-1.0,8.135705163857708
2729,潮汕,广州南,20,116.5944151,23.54253566,113.2759886,22.99449891,8.135705163857708
